id,nombreAlumno,dniAlumno,curso_id,provincia,localidad,calle,cp,email,matriculado
1,Noureddine,33333333A,2,Madrid,Madrid,4602 Holy Cross Junction,28025,wgouthier9@wisc.edu,1
2,Wilbert,592557284,1,Madrid,Madrid,28 Hanson Park,28025,wscutchin0@baidu.com,1
3,Martynne,416698039,5,Extremadura,Badajoz,2058 Golf Street,06010,mweblin1@cbslocal.com,1
4,Nicoli,686859793,3,Extremadura,Badajoz,470 Moulton Crossing,06010,nmaciver2@wikispaces.com,1
5,Audre,298675991,1,Madrid,Madrid,67 Merry Park,28025,awraggs3@discovery.com,1
6,Jeth,577078405,1,Madrid,Madrid,3 Manitowish Street,28045,jturbefield4@umich.edu,1
7,Lory,994038996,5,Madrid,Leganes,224 Di Loreto Street,28914,lmullard5@sun.com,1
8,Joelynn,358230176,3,Madrid,Leganes,889 Browning Place,28914,jgheeraert6@europa.eu,1
9,Ade,525274594,3,Madrid,Madrid,0457 Mallard Trail,28020,ariddle7@cbsnews.com,1
10,Torr,715199232,4,Madrid,Getafe,70356 Bultman Junction,28904,tashley8@xrea.com,1
