codigo,nombreCentro,provincia,localidad,calle,cp,cif,telefono,nombreDirector,email
999,IES Augustobriga,Caceres,Navalmoral,Calle Navalmoral,10300,298765412,667843435,Marta,iesaugustobriga.cas
3,Stronghold,Madrid,Madrid,Boyd,28015,204909,654448270,Farrell,ieldritt0@issuu.com
3526,Opela,Madrid,Madrid,Beilfuss,28020,253539,706802995,Brande,tkitchen1@tiny.cc
51864,Tempsoft,Madrid,Madrid,Northport,28020,244943,863811106,Creigh,dlamblot2@yahoo.com
318,Fixflex,Extremadura,Badajoz,Logan,06010,14035,906827309,Shelby,cwych3@nhs.uk
9030,Bitchip,Extremadura,Badajoz,Brentwood,06010,346073,777654369,Hunfredo,cantonovic4@soundcloud.com
55,Alpha,Madrid,Getafe,Rockefeller,28904,199406,736321996,Arch,obarton5@spotify.com
7908,Span,Madrid,Madrid,Logan,28025,141556,668100502,Selene,cmaylard6@merriam-webster.com
442,Cardguard,Madrid,Madrid,Mccormick,28055,251414,663446263,Keri,ebiner7@51.la
843,Kanlam,Extremadura,Badajoz,Hollow Ridge,06005,218100,237793665,Jehu,jgrunson8@ow.ly
707,Greenlam,Extremadura,Badajoz,Basil,06010,315282,366908360,Brewer,nhorder9@1und1.de
